Anos,Total,Menos de 01,01-04,05-09,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,100 ou mais
1980,94794,3839,853,496,1387,1811,1938,4225,8806,16434,28787,22009,4141,68
1981,95728,3309,697,421,1509,2002,2012,4340,8973,16312,29028,22883,4156,86
1982,92379,2985,650,435,1386,1892,1961,3999,8625,15446,28575,22072,4266,87
1983,96179,2776,626,386,1293,1914,2083,3910,8925,15707,29485,24217,4748,109
1984,96975,2379,606,382,1211,1862,2037,3970,8909,15854,29667,25092,4911,95
1985,97085,2317,556,329,1127,1831,2001,3835,8660,15544,30051,25603,5148,83
1986,95521,2008,534,343,1093,1691,2012,3735,8674,15560,29156,25639,4990,86
1987,95102,1744,472,309,1102,1867,2115,3584,8223,15319,28641,26403,5199,124
1988,97844,1584,481,267,1114,1872,2120,3627,8170,16070,28775,27943,5699,122
1989,95743,1435,409,265,1027,1948,2108,3509,7667,15741,27742,27909,5827,156
1990,102768,1266,330,255,1133,1919,2247,3601,8023,16769,29229,31116,6715,165
1991,103882,1254,346,268,1168,2016,2380,3702,7954,17104,29115,31581,6831,163
1992,100638,1052,316,220,1031,1955,2480,3884,7587,16246,28135,30774,6808,150
1993,105950,985,313,195,937,1939,2382,3829,7771,17133,29079,33363,7827,197
1994,99232,865,244,202,883,1833,2406,3632,6980,15654,27460,31386,7500,187
1995,103475,796,233,180,835,2140,2521,3843,6949,15894,28397,33033,8438,216
1996,106881,747,241,165,802,2029,2694,4004,7112,16068,29072,34689,9008,250
1997,104778,726,229,144,738,2014,2752,3970,6859,15590,28625,33880,9032,219
1998,106198,679,220,158,715,1967,2619,3945,6757,15258,29616,34274,9731,259
1999,107871,651,183,144,609,1854,2686,3902,6715,15235,30499,34643,10447,303
2000,105364,662,189,119,567,1647,2502,4051,6616,14467,30060,33689,10510,285
2001,105092,567,162,114,542,1622,2444,4213,6627,14105,29809,33558,11033,296
2002,106258,574,167,104,480,1397,2337,4257,6826,13794,29640,34566,11784,332
2003,108795,466,126,103,419,1313,2265,4137,6927,13602,30275,35951,12791,420
2004,102012,420,142,95,379,1160,2116,3992,6684,12752,28142,33965,11793,372
2005,107464,384,94,96,369,1038,2123,4023,7004,12810,29009,36718,13367,429
2006,101990,349,115,84,340,887,1949,3977,6742,12121,27160,35019,12790,431
2007,103512,353,86,62,298,859,1823,3853,6807,11837,26872,36792,13411,440
2008,104280,340,79,63,289,770,1668,3796,6831,11558,26685,37861,13772,548
2009,104434,362,89,59,256,707,1621,3746,6839,11680,25907,38881,13705,552
2010,105954,256,70,65,228,658,1575,3679,6840,11479,25665,40089,14674,643
2011,102848,302,70,65,216,567,1364,3482,6971,11466,24525,38516,14627,663
2012,107612,303,64,57,195,511,1290,3403,6756,11618,24439,41637,16581,750
2013,106554,243,73,45,179,477,1146,3212,6807,11878,23565,41059,17056,790
2014,104843,236,55,45,185,439,1083,3016,6783,11394,22642,40482,17548,920
2015,108539,250,58,49,165,408,943,2964,6449,11776,22815,42140,19568,940
2016,110573,282,52,30,178,389,842,2838,6765,12118,22997,42400,20720,950
2017,109758,229,52,45,164,435,884,2794,6762,11947,22098,41866,21490,976
2018,113051,287,63,38,170,395,815,2819,6568,12131,22700,43120,22859,1078
2019,111843,249,62,34,163,397,851,2580,6473,12219,22088,42142,23540,1024
2020,123396,206,52,35,160,447,838,2758,6795,13127,24421,46783,26521,1235
2021,124802,191,53,42,170,390,855,2678,6799,13726,25050,46615,26875,1347
