Anos,Total,Masculino,Feminino
1960,8865,4245,4620
1961,8929,4274,4655
1962,8994,4304.5,4689.5
1963,9030.5,4322,4708.5
1964,9035.5,4318,4717.5
1965,8998.5,4288,4710.5
1966,8931,4247.5,4683.5
1967,8875,4224.5,4650.5
1968,8837,4223.5,4613.5
1969,8758,4191,4567
1970,8680.6,4133.7,4546.9
1971,8643.8,4093.6,4550.1
1972,8630.4,4079,4551.5
1973,8633.1,4070.5,4562.6
1974,8754.4,4129.7,4624.7
1975,9093.5,4314.8,4778.6
1976,9355.8,4459.6,4896.3
1977,9455.7,4518.4,4937.3
1978,9558.3,4579.1,4979.2
1979,9661.3,4639.9,5021.3
1980,9766.3,4700.7,5065.6
1981,9851.3,4746.8,5104.5
1982,9911.8,4777.1,5134.7
1983,9957.9,4800.6,5157.3
1984,9996.2,4820.2,5176
1985,10023.6,4834,5189.7
1986,10032.7,4838.5,5194.3
1987,10030,4837.1,5192.9
1988,10019.6,4831.8,5187.8
1989,10005,4824.1,5180.9
1990,9983.2,4812.9,5170.3
1991,9960.2,4800.9,5159.4
1992,9952.5,4795.6,5156.9
1993,9964.7,4800.5,5164.2
1994,9991.5,4813.4,5178.1
1995,10026.2,4830.9,5195.2
1996,10063.9,4850.2,5213.7
1997,10109,4873,5236
1998,10160.2,4898.8,5261.4
1999,10217.8,4928.2,5289.7
2000,10289.9,4965.3,5324.6
2001,10362.7,5002.9,5359.8
2002,10419.6,5028.4,5391.3
2003,10458.8,5042.3,5416.5
2004,10483.9,5050.5,5433.3
2005,10503.3,5056.3,5447.1
2006,10522.3,5061.6,5460.7
2007,10543,5067.1,5475.9
2008,10558.2,5068,5490.2
2009,10568.2,5065,5503.3
2010,10573.1,5058.6,5514.5
2011,10557.6,5042,5515.6
2012,10514.8,5013.1,5501.8
2013,10457.3,4976.9,5480.4
2014,10401.1,4940.8,5460.2
2015,10358.1,4912.6,5445.5
2016,10325.5,4892,5433.5
2017,10300.3,4875.1,5425.2
2018,10283.8,4860,5423.8
2019,10286.3,4856.2,5430.1
2020,10333.8,4897.2,5436.5
2021,10361.8,4928.8,5433
