ano,total,Inferior ao básico / 1º ciclo,Básico / 1º ciclo,Básico / 2º ciclo,Básico / 3º ciclo,Secundário e Pós Secundário,Superior
2010,1075.3,673.4,766.3,784.8,874.7,1116.8,1951.9
2011,1083.8,676.2,769.3,787.6,868.1,1115.5,1931.9
2012,1094.7,681.4,768.1,788.8,868.9,1115.6,1907.1
2013,1093.3,681.2,768.9,789.2,862,1099.7,1872.1
2014,1090.6,690.5,774.6,799,859.4,1085.3,1840.8
2015,1094.1,704.2,779.7,804.4,861.2,1072.3,1819.4
2016,1105.6,716.1,792.6,821.3,869.3,1067.8,1814.8
2017,1130.8,736,815,847.5,892.5,1077.5,1822.6
2018,1166.9,771.8,845.2,882.7,920.3,1095.6,1853.3
2019,1206.3,793.6,873.7,915.2,950.1,1115.6,1887.5
