Anos,Da educação pré-escolar ao ensino básico (ISCED 02-2),Do ensino secundário ao ensino pós-secundário (ISCED 3-4),Ensino superior (ISCED 5-8)
2004,7549,11804,19123
2005,7900,12449,21013
2006,8048,12421,20956
2007,8455,12707,21341
2008,8975,12489,20728
2009,8908,12719,20724
2010,9200,12403,20180
2011,8973,11922,19901
2012,9043,11536,18453
2013,8582,11187,17793
2014,8163,11038,17081
2015,8157,11081,16947
2016,8596,11398,17557
2017,8817,11506,17906
2018,9054,11664,17470
2019,9734,12220,18325
2020,10327,12909,18852
2021,10427,12929,19509
